dish,genotype,N,phase,nnd_ratio,iid_ratio
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,baseline,0.9900719749572671,0.9583999272207014
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,early EtOH,1.0794749048713246,1.0800497596189118
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,late EtOH,1.0772772677261575,1.0214836657785908
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,recovery,1.072177398711092,1.0128639951137475
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,baseline,0.7749797452566654,0.6634408113883011
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,early EtOH,1.2314106240520453,1.2292522980951328
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,late EtOH,1.169180534736038,1.102075058978533
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,recovery,0.9239306234393747,0.8203052069755248
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,baseline,0.8839269021340156,0.8499387208691924
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,early EtOH,1.0718173355966019,1.128268686315443
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,late EtOH,1.021633406570948,1.041285222892634
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,recovery,0.9871889330775342,0.9125069860996902
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,baseline,0.9538833212333659,0.9736232567332848
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,early EtOH,1.0926630791840808,1.0618067185035023
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,late EtOH,1.0530795395811634,0.9897785882274582
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,recovery,1.1045383226109833,1.0061510056515088
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,baseline,0.9253468801471293,0.7540088034049197
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,early EtOH,1.1084148919467662,1.1294499163019371
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,late EtOH,1.0619865719068113,1.0247223690887957
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,recovery,0.9850992070632344,0.9265151502633527
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,1.2019726657240948,0.9675743086294738
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.0823193810201188,1.0667098024600166
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,1.0721582338117568,1.0438930252979983
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,1.0851867733532732,1.02760586590152
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,baseline,0.79024688079208,0.7115366654166749
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,early EtOH,1.1896020720229614,1.1546533940333004
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,late EtOH,1.0782887778432384,1.0351393668072761
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,recovery,1.1056761451791182,0.9943323863549364
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,baseline,1.0048983830782072,0.8841047813290509
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,early EtOH,1.2335587484411517,1.1336622529664433
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,late EtOH,1.1623756196058648,1.0765723492177672
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,recovery,1.0739143208938184,0.9617354499192153
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,baseline,0.8573628876114235,0.8998940353731082
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,early EtOH,1.0668524262039691,1.027470054674302
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,late EtOH,1.0414160670500832,1.0111560971369615
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,recovery,1.10939074637431,1.0484712502668054
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,1.1378126561223343,1.1008172543075505
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.1451633271962367,1.117286236198472
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,0.9761186691742592,0.944167606186481
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,1.0051789196269536,0.8807372692060836
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,baseline,0.9504476125009559,0.8923469094190777
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,early EtOH,1.0913195652073369,1.0991804100409204
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,late EtOH,1.0533680154650915,1.0197591739979395
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,recovery,0.9886821338206575,0.9474725230175302
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,baseline,1.005752823215774,0.9848419047881767
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,early EtOH,1.0643536116465355,1.0819867687983349
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,late EtOH,1.0349478569673671,0.9930621829231021
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,recovery,0.9870652116595454,0.9303606509793627
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,baseline,0.9621863921706757,0.88604434679015
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,early EtOH,1.1569411424819045,1.12579437503183
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,late EtOH,1.0574223395005162,0.9968539874030229
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,recovery,0.9300339763894798,1.0277951556172589
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,baseline,1.0610930663818203,1.03565705726818
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,early EtOH,1.1209406810946438,1.0635597752520507
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,late EtOH,1.0441889786402097,0.9662690683938322
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,recovery,0.98168220287238,0.9101153736291029
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,baseline,0.8441979585917597,0.7739817430159747
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,early EtOH,1.259558739464404,1.2299794542395885
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,late EtOH,1.1477551711658207,0.9925044380995771
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,recovery,0.9455840085421009,0.9053926763453615
2026-05-13_13.36.00_ROI3_TR_dSERT_stage3,dSERT,10.0,baseline,0.9456782597662521,0.7981517491021198
2026-05-13_13.36.00_ROI3_TR_dSERT_stage3,dSERT,10.0,early EtOH,1.1235584151873985,1.1415786949157178
2026-05-13_13.36.00_ROI3_TR_dSERT_stage3,dSERT,10.0,late EtOH,1.042114209114077,1.032665141929826
2026-05-13_13.36.00_ROI3_TR_dSERT_stage3,dSERT,10.0,recovery,1.103413003118676,1.002166488932649
2026-05-13_13.36.00_ROI4_BR_W1118_stage3,W1118,9.0,baseline,1.0428530383617458,0.9672940104557516
2026-05-13_13.36.00_ROI4_BR_W1118_stage3,W1118,9.0,early EtOH,1.0034467999285408,0.9986143247876811
2026-05-13_13.36.00_ROI4_BR_W1118_stage3,W1118,9.0,late EtOH,1.0678945724984603,1.0286942446497775
2026-05-13_13.36.00_ROI4_BR_W1118_stage3,W1118,9.0,recovery,1.0664580538202468,1.0427476996022766
2026-05-15_11.23.12_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,0.9117489231271165,0.9091423007000298
2026-05-15_11.23.12_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.064743305006224,1.0385476545128596
2026-05-15_11.23.12_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,1.046241291436987,1.0219269103742918
2026-05-15_11.23.12_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,0.9920855539927699,0.9551440993251971
2026-05-15_11.23.12_ROI2_BL_W1118_stage3,W1118,10.0,baseline,0.9788481672467568,0.9707696357653413
2026-05-15_11.23.12_ROI2_BL_W1118_stage3,W1118,10.0,early EtOH,1.1365387787719086,1.0698338312212634
2026-05-15_11.23.12_ROI2_BL_W1118_stage3,W1118,10.0,late EtOH,1.080764892191822,1.0687307362274576
2026-05-15_11.23.12_ROI2_BL_W1118_stage3,W1118,10.0,recovery,0.8766773351945274,0.7858465375438463
2026-05-15_11.23.12_ROI3_TR_W1118_stage3,W1118,9.0,baseline,0.9430520585388714,0.7790265441009627
2026-05-15_11.23.12_ROI3_TR_W1118_stage3,W1118,9.0,early EtOH,1.0589650497992562,1.0185139020818972
2026-05-15_11.23.12_ROI3_TR_W1118_stage3,W1118,9.0,late EtOH,1.1341176761086709,1.0636962010531896
2026-05-15_11.23.12_ROI3_TR_W1118_stage3,W1118,9.0,recovery,0.9718897795367759,1.0466335748858155
2026-05-15_11.23.12_ROI4_BR_dSERT_stage3,dSERT,9.0,baseline,0.8064871084598326,0.9587103633601934
2026-05-15_11.23.12_ROI4_BR_dSERT_stage3,dSERT,9.0,early EtOH,1.0592784915887028,1.0259859836229481
2026-05-15_11.23.12_ROI4_BR_dSERT_stage3,dSERT,9.0,late EtOH,1.0503964172925468,0.9960040311656748
2026-05-15_11.23.12_ROI4_BR_dSERT_stage3,dSERT,9.0,recovery,1.0160221401181613,0.9257107833672318
2026-05-15_11.53.51_ROI1_TL_W1118_stage3,W1118,10.0,baseline,0.8607612721345406,0.8596533700602551
2026-05-15_11.53.51_ROI1_TL_W1118_stage3,W1118,10.0,early EtOH,1.0888121850479733,1.0424850754604358
2026-05-15_11.53.51_ROI1_TL_W1118_stage3,W1118,10.0,late EtOH,1.0494462088000254,1.011074677658128
2026-05-15_11.53.51_ROI1_TL_W1118_stage3,W1118,10.0,recovery,1.1343033755884235,1.0885555344688171
2026-05-15_11.53.51_ROI2_BL_dSERT_stage3,dSERT,9.0,baseline,0.9799683981772911,0.9075810807996209
2026-05-15_11.53.51_ROI2_BL_dSERT_stage3,dSERT,9.0,early EtOH,1.0386651903353457,1.0690482382616888
2026-05-15_11.53.51_ROI2_BL_dSERT_stage3,dSERT,9.0,late EtOH,1.0692448466763373,1.0792044860452097
2026-05-15_11.53.51_ROI2_BL_dSERT_stage3,dSERT,9.0,recovery,1.050595191581148,0.9848740282757973
2026-05-15_11.53.51_ROI3_TR_W1118_stage3,W1118,10.0,baseline,0.9431462591428745,0.86180049535472
2026-05-15_11.53.51_ROI3_TR_W1118_stage3,W1118,10.0,early EtOH,1.0230228763266935,1.0652989190676612
2026-05-15_11.53.51_ROI3_TR_W1118_stage3,W1118,10.0,late EtOH,1.0692333940815495,1.0547935752696276
2026-05-15_11.53.51_ROI3_TR_W1118_stage3,W1118,10.0,recovery,1.0246486654075868,1.0433963504483221
2026-05-15_11.53.51_ROI4_BR_dSERT_stage3,dSERT,10.0,baseline,0.9125770075889693,0.8561375223109264
2026-05-15_11.53.51_ROI4_BR_dSERT_stage3,dSERT,10.0,early EtOH,1.0690381929181365,1.0450117536503536
2026-05-15_11.53.51_ROI4_BR_dSERT_stage3,dSERT,10.0,late EtOH,1.0833692256114933,1.0225183419702026
2026-05-15_11.53.51_ROI4_BR_dSERT_stage3,dSERT,10.0,recovery,1.1106438272714927,1.048296998833266
2026-06-18_14.13.52_ROI1_TL_dSERT_stage3,dSERT,9.0,baseline,0.9726666662123419,1.0620478400933921
2026-06-18_14.13.52_ROI1_TL_dSERT_stage3,dSERT,9.0,early EtOH,1.079962859319052,1.073069738749159
2026-06-18_14.13.52_ROI1_TL_dSERT_stage3,dSERT,9.0,late EtOH,1.0509897227434435,0.9762101588439226
2026-06-18_14.13.52_ROI1_TL_dSERT_stage3,dSERT,9.0,recovery,1.0059617343849065,0.9162526772169143
2026-06-18_14.13.52_ROI2_BL_W1118_stage3,W1118,9.0,baseline,0.8958676920730082,0.7992146348490906
2026-06-18_14.13.52_ROI2_BL_W1118_stage3,W1118,9.0,early EtOH,1.1706467744337452,1.1698180061469714
2026-06-18_14.13.52_ROI2_BL_W1118_stage3,W1118,9.0,late EtOH,1.0621981193371974,1.0091390096531387
2026-06-18_14.13.52_ROI2_BL_W1118_stage3,W1118,9.0,recovery,1.0006110737471692,1.0219606938799597
2026-06-18_14.13.52_ROI3_TR_W1118_stage3,W1118,10.0,baseline,0.9199203385949107,0.792635608563271
2026-06-18_14.13.52_ROI3_TR_W1118_stage3,W1118,10.0,early EtOH,1.1605769248602018,1.1699686242205267
2026-06-18_14.13.52_ROI3_TR_W1118_stage3,W1118,10.0,late EtOH,1.1666787154125018,1.0883078755893474
2026-06-18_14.13.52_ROI3_TR_W1118_stage3,W1118,10.0,recovery,0.9328435162783153,0.8541051164821805
2026-06-18_14.13.52_ROI4_BR_dSERT_stage3,dSERT,9.0,baseline,0.8747647801702161,0.9149006271610873
2026-06-18_14.13.52_ROI4_BR_dSERT_stage3,dSERT,9.0,early EtOH,1.044221230645559,1.0580382166177658
2026-06-18_14.13.52_ROI4_BR_dSERT_stage3,dSERT,9.0,late EtOH,1.0322093780622499,1.0104831936210479
2026-06-18_14.13.52_ROI4_BR_dSERT_stage3,dSERT,9.0,recovery,0.9662127016825136,0.9507490968971718
2026-06-18_14.44.35_ROI1_TL_W1118_stage3,W1118,10.0,baseline,0.9380905697126924,0.7590583773850773
2026-06-18_14.44.35_ROI1_TL_W1118_stage3,W1118,10.0,early EtOH,1.1731239694820619,1.1684530787291043
2026-06-18_14.44.35_ROI1_TL_W1118_stage3,W1118,10.0,late EtOH,1.0509819552836541,1.0544500970940005
2026-06-18_14.44.35_ROI1_TL_W1118_stage3,W1118,10.0,recovery,0.9550828283075612,0.9244282933055505
2026-06-18_14.44.35_ROI2_BL_dSERT_stage3,dSERT,10.0,baseline,0.8879528444646462,0.7632027265356522
