dish,dose,genotype,phase,n_obs,pct_center,pct_middle,pct_outer,count_center,count_middle,count_outer
2026-06-01_10.28.37_ROI4_BR_dSERT,50:65,dSERT,early EtOH,90612,4.648390941597139,14.123957091775925,81.22765196662694,4212,12798,73602
2026-06-01_10.28.37_ROI4_BR_dSERT,50:65,dSERT,late EtOH,90092,4.320028415397593,14.062291879412156,81.61767970519026,3892,12669,73531
2026-06-01_10.28.37_ROI4_BR_dSERT,50:65,dSERT,recovery,87685,4.523008496322062,10.444203683640303,85.03278782003764,3966,9158,74561
2026-06-01_10.59.09_ROI1_TL_W1118,50:65,W1118,baseline,88363,3.211751524959542,27.161821124226204,69.62642735081425,2838,24001,61524
2026-06-01_10.59.09_ROI1_TL_W1118,50:65,W1118,early EtOH,88572,9.62606692860046,27.474822743079073,62.89911032832046,8526,24335,55711
2026-06-01_10.59.09_ROI1_TL_W1118,50:65,W1118,late EtOH,88993,9.269268369422313,26.027889834031892,64.7028417965458,8249,23163,57581
2026-06-01_10.59.09_ROI1_TL_W1118,50:65,W1118,recovery,87070,1.6033076834730677,22.659928792925232,75.7367635236017,1396,19730,65944
2026-06-01_10.59.09_ROI2_BL_dSERT,50:65,dSERT,baseline,89655,4.26189281133233,30.114327142936816,65.62378004573087,3821,26999,58835
2026-06-01_10.59.09_ROI2_BL_dSERT,50:65,dSERT,early EtOH,89383,7.687144087801931,15.775930546076994,76.53692536612108,6871,14101,68411
2026-06-01_10.59.09_ROI2_BL_dSERT,50:65,dSERT,late EtOH,89200,6.608744394618834,16.522421524663677,76.86883408071749,5895,14738,68567
2026-06-01_10.59.09_ROI2_BL_dSERT,50:65,dSERT,recovery,87335,5.9002690788343735,20.810671552069618,73.28905936909601,5153,18175,64007
2026-06-01_10.59.09_ROI3_TR_dSERT,50:65,dSERT,baseline,89683,10.999855044991804,27.17348884403956,61.826656110968635,9865,24370,55448
2026-06-01_10.59.09_ROI3_TR_dSERT,50:65,dSERT,early EtOH,89301,6.788277846832622,13.78372022709712,79.42800192607025,6062,12309,70930
2026-06-01_10.59.09_ROI3_TR_dSERT,50:65,dSERT,late EtOH,89452,5.1703707016053295,13.845414300406922,80.98421499798775,4625,12385,72442
2026-06-01_10.59.09_ROI3_TR_dSERT,50:65,dSERT,recovery,87115,4.954370659473111,12.053033346725593,82.9925959938013,4316,10500,72299
2026-06-01_10.59.09_ROI4_BR_W1118,50:65,W1118,baseline,88936,27.81888099307367,30.695106593505443,41.48601241342089,24741,27299,36896
2026-06-01_10.59.09_ROI4_BR_W1118,50:65,W1118,early EtOH,89338,14.620878013835098,21.716402874476707,63.66271911168819,13062,19401,56875
2026-06-01_10.59.09_ROI4_BR_W1118,50:65,W1118,late EtOH,89519,12.904523062143234,23.076665288933075,64.01881164892369,11552,20658,57309
